feature,true_coefficient,is_relevant,lasso_coefficient,ridge_coefficient,lasso_exact_zero,ridge_exact_zero
x1,5.0,True,4.851350329469123,4.9494646288903175,False,False
x2,-4.0,True,-3.858656246447592,-3.9568150279677043,False,False
x3,3.5,True,3.416613745968309,3.527880240703577,False,False
x4,-3.0,True,-2.994251804953207,-3.087282384672249,False,False
x5,2.5,True,2.385434482289234,2.4850977337159885,False,False
x6,-2.0,True,-1.942318796962216,-2.040287884441268,False,False
x7,1.5,True,1.4337776617586164,1.5377185205391157,False,False
x8,-1.25,True,-1.154251852372093,-1.2553324818503724,False,False
x9,1.0,True,0.8458652808799302,0.9472423824300911,False,False
x10,-0.75,True,-0.6390616509059674,-0.7355234149695558,False,False
x11,0.0,False,0.0,0.0369014875793807,True,False
x12,0.0,False,-0.0,-0.021815177699672478,True,False
x13,0.0,False,0.0,0.021376495356568975,True,False
x14,0.0,False,0.0,0.01663435668379783,True,False
x15,0.0,False,0.0,0.014868855489542034,True,False
x16,0.0,False,0.0,0.02732898636512401,True,False
x17,0.0,False,0.0,0.014670218371965268,True,False
x18,0.0,False,0.0,0.022957174555033415,True,False
x19,0.0,False,-0.0,-0.002207484215809728,True,False
x20,0.0,False,-0.0,-0.016831547364052075,True,False
x21,0.0,False,-0.0,-0.015683767720704372,True,False
x22,0.0,False,-0.0,-0.009701348023225198,True,False
x23,0.0,False,-0.0,-0.0306460623115399,True,False
x24,0.0,False,-0.0,-0.01857962812163637,True,False
x25,0.0,False,0.0,0.000866483306101928,True,False
x26,0.0,False,-0.0,-0.013314739291347393,True,False
x27,0.0,False,-0.0,-0.015166686207975774,True,False
x28,0.0,False,-0.0,-0.01571998276390045,True,False
x29,0.0,False,-0.0,-0.010997392022961093,True,False
x30,0.0,False,0.0,0.009121744250648043,True,False
x31,0.0,False,-0.0,-0.02146190260022755,True,False
x32,0.0,False,0.0,0.004453249160066699,True,False
x33,0.0,False,-0.0,-0.03052589855259242,True,False
x34,0.0,False,0.0,-0.0022442441402799676,True,False
x35,0.0,False,0.0,0.008703438686677882,True,False
x36,0.0,False,0.0,0.002732561104164246,True,False
x37,0.0,False,-0.0,-0.016715096198280502,True,False
x38,0.0,False,-0.0,-0.02623464665933681,True,False
x39,0.0,False,0.0,0.023384996863674342,True,False
x40,0.0,False,-0.0,-0.013921246060659776,True,False
x41,0.0,False,0.0,0.018297990018256983,True,False
x42,0.0,False,0.0,0.01057357715613965,True,False
x43,0.0,False,0.0,0.02857807857696027,True,False
x44,0.0,False,0.0,-0.0037965289251562775,True,False
x45,0.0,False,0.0,0.03518362568391703,True,False
x46,0.0,False,-0.0,-0.01029937539396052,True,False
x47,0.0,False,0.0,0.0014322735085036927,True,False
x48,0.0,False,-0.0,-0.005641242129063264,True,False
x49,0.0,False,-0.0,-0.010203738707250389,True,False
x50,0.0,False,-0.0,-0.010522730690711178,True,False
x51,0.0,False,0.0,0.040949859343460925,True,False
x52,0.0,False,-0.0,-0.01311299678438322,True,False
x53,0.0,False,-0.0,-0.03211575704560214,True,False
x54,0.0,False,0.0,0.03633071965605122,True,False
x55,0.0,False,0.0,0.0156962437961905,True,False
x56,0.0,False,0.0,-0.012329935625848004,True,False
x57,0.0,False,0.0,0.0018540855635319601,True,False
x58,0.0,False,0.0,0.006030500410751152,True,False
x59,0.0,False,0.0,0.015670787032069016,True,False
x60,0.0,False,0.0,0.017391606725790817,True,False
x61,0.0,False,0.0,-0.0004156047896299788,True,False
x62,0.0,False,0.0,0.006463353036344462,True,False
x63,0.0,False,-0.0,-0.004976588245802823,True,False
x64,0.0,False,0.0,0.027192570770437425,True,False
x65,0.0,False,-0.0,-0.008343152680744285,True,False
x66,0.0,False,-0.0,-0.0033965837132431628,True,False
x67,0.0,False,0.0,0.024544511469082087,True,False
x68,0.0,False,0.0,0.03035897709405282,True,False
x69,0.0,False,-0.0,-0.010461581174031722,True,False
x70,0.0,False,-0.0,-0.009629860425770546,True,False
x71,0.0,False,-0.0,-0.009820314308782985,True,False
x72,0.0,False,-0.0,0.006452859526218222,True,False
x73,0.0,False,0.0,0.0283454186183956,True,False
x74,0.0,False,0.0,0.021330138604823676,True,False
x75,0.0,False,0.0,0.019397595018446265,True,False
x76,0.0,False,-0.0,-0.02538260365579909,True,False
x77,0.0,False,-0.0,-0.028907339077737692,True,False
x78,0.0,False,0.0,0.008670596873300698,True,False
x79,0.0,False,-0.0,-0.004918450495224887,True,False
x80,0.0,False,0.0,-0.004623254618270949,True,False
x81,0.0,False,-0.0,-0.004644152618528127,True,False
x82,0.0,False,0.0,0.010021089239533636,True,False
x83,0.0,False,-0.0,0.002990698301309501,True,False
x84,0.0,False,0.0,0.02709801512372951,True,False
x85,0.0,False,0.0,0.007916378517036212,True,False
x86,0.0,False,-0.0,-0.008612937187209924,True,False
x87,0.0,False,-0.0,-0.014162066186650718,True,False
x88,0.0,False,-0.0,-0.007206638776475527,True,False
x89,0.0,False,0.0,0.01370020526519098,True,False
x90,0.0,False,0.0,0.019015863197673993,True,False
x91,0.0,False,-0.0,-0.004251772950599622,True,False
x92,0.0,False,0.0,0.007939785853712359,True,False
x93,0.0,False,-0.0,-0.028781989745033154,True,False
x94,0.0,False,-0.0,-0.004576711037750793,True,False
x95,0.0,False,-0.0,-0.010471770963356648,True,False
x96,0.0,False,-0.0,-0.0002220334242973353,True,False
x97,0.0,False,0.0,0.02070051872765557,True,False
x98,0.0,False,0.0,0.010918328980579527,True,False
x99,0.0,False,0.0,0.010073968860615692,True,False
x100,0.0,False,0.0,0.01114692431316727,True,False
